to compete,competir,concurreren
to play games,jugar juegos,spelletjes spelen
to warm up,calentar,opwarmen
to hum,tararear,neuriën
to nap,descansar,dutten
to take a nap,tomar una siesta,een dutje doen
editing,la edición,bewerken
to take pictures,tomar fotos,foto's nemen
manga,el manga,manga
track and field,el atletismo,atletiek
theater,el teatro,theater
to twerk,perrear,twerken
magic,la magia,magie
album,el álbum,album
cumbia,la cumbia,cumbia
doodle,el monigote,krabbel
ice skating,el patinaje sobre hielo,schaatsen
saxophone,el saxofón,saxofoon
bowling,los bolos,bowlen
to sleep,dormir,slapen
to play chess,jugar al ajedrez,schaken
to write stories,escribir cuentos,verhalen schrijven
gymnastics,la gimnasia,gymnastiek
to dance tango,bailar tango,tango dansen
scooter,el monopatín,step
skateboarding,el skateboard,skateboarden
expert,el experto,expert
intermediate,de nivel intermedio,gemiddeld
beginner,el/la principiante,beginner
horseback riding,la equitación,paardrijden
piracy,la piratería,piraterij
softball,el sóftbol,softbal
road trip,el viaje por carretera,roadtrip
musical,el musical,musical
boxing,el boxeo,boksen
flamenco,el flamenco,flamenco
to design,diseñar,ontwerpen
to run,correr,rennen
cake,el pastel,taart
to collect,coleccionar,verzamelen
paddle,la pala,peddel
keyboard,el teclado,toetsenbord
to train,entrenarse,trainen
to compose,componer,componeren
to perform,interpretar,optreden
hockey,el hockey,hockey
to relax,relajarse,ontspannen
to laugh,reír,lachen
to rap,rapear,rappen
to read magazines,leer revistas,tijdschriften lezen
adventure,la aventura,avontuur
to go to the beach,ir a la playa,naar het strand gaan
to play the drums,tocar la batería,drummen
to play baseball,jugar al béisbol,honkballen
wrestling,la lucha libre,worstelen
series,la serie,serie
surfing,el surfing,surfen
philosophy,la filosofía,filosofie
to get a haircut,cortarse el pelo,naar de kapper gaan
to pull a prank,hacer una travesura,een grap uithalen
to work out,hacer ejercicio,trainen
to ride a bike,montar en bici,fietsen
to ride a horse,montar a caballo,paardrijden
to style one's hair,peinarse,haar stylen
homework,la tarea,huiswerk
housework,los quehaceres,huishoudelijk werk
spare time,el tiempo libre,vrije tijd
fitness,el mantenimiento,fitness
ceramics,la cerámica,keramiek
amusement park,el parque de atracciones,pretpark
squash,el squash,squash
interests,intereses,interesses
coaching,el entrenamiento,coaching
astrology,la astrología,astrologie
skiing,el esquí,skiën
to text,enviar mensajes de texto,sms'en
radio,el radio,radio
to watch videos,ver videos,video's kijken
crochet,el crochet,haken
knitting,la labor de punto,breien
sewing,la costura,naaien
gardening,la jardinería,tuinieren
handball,el balonmano,handbal
fashion,la moda,mode
water sports,los deportes acuáticos,watersport
dominoes,el dominó,domino
checkers,las damas,dammen
chess,el ajedrez,schaken
drama,el drama,drama
choir,el coro,koor
to study,estudiar,studeren
to go for a walk,pasear,wandelen
roller skating,el patinaje sobre ruedas,rolschaatsen
figure skating,el patinaje artístico,kunstschaatsen
to play video games,jugar videojuegos,videogames spelen
to play tennis,jugar al tenis,tennissen
to go to concerts,ir a conciertos,naar concerten gaan
match,el partido,wedstrijd
fishing,la pesca,vissen
poetry,la poesía,poëzie
to tell jokes,contar chistes,grappen vertellen
golf,el golf,golf
customs and traditions,costumbres y tradiciones,gewoonten en tradities
to go camping,ir de camping,kamperen
to have fun,divertirse,plezier hebben
to play an instrument,tocar un instrumento,een instrument bespelen
scuba diving,el submarinismo,duiken
diving,el buceo,duiken
to walk,andar,lopen
trekking,el trekking,trekking
mountain biking,ciclismo de montaña,mountainbiken
biking,el ciclismo,fietsen
volleyball,el voleibol,volleybal
leisure,el ocio,vrije tijd
yoga,el yoga,yoga
athletics,el atletismo,atletiek
to rehearse,ensayar,repeteren
essay,el ensayo,essay
watercolor painting,la acuarela,aquarel schilderen
oil painting,la pintura al óleo,olieverf schilderen
to read the newspaper,leer el periódico,de krant lezen
to watch the news,ver las noticias,het nieuws kijken
entertainment,el entretenimiento,entertainment
film,la película,film
hiking,el senderismo,wandelen
to go to the library,ir a la biblioteca,naar de bibliotheek gaan
pastel,el dibujo al pastel,pastel tekenen
to sketch,esbozar,schetsen
drawing,el dibujo,tekenen
dancing,el baile,dansen
show,el show,show
singing,el canto,zingen
dice,los dados,dobbelstenen
to watch TV,ver la tele,tv kijken
rest,el descanso,rust
cruise,el crucero,cruise
gambling,las apuestas,gokken
pool,el billar,poolen
martial art,la arte marcial,vechtsport
to ski,esquiar,skiën
song,la canción,lied
to play the guitar,tocar la guitarra,gitaar spelen
to fly,volar,vliegen
things to do,cosas que hacer,dingen om te doen
jigsaw puzzle,el puzzle,legpuzzel
pastime,el pasatiempo,tijdverdrijf
media,medios de comunicación,media
organ,el órgano,orgel
ball,la pelota,bal
team,el equipo,team
video game,el videojuego,videogame
practice,el entrenamiento,oefenen
photography,la fotografía,fotografie
kayak,el kayak,kajak
canoe,la canoa,kano
sailing,la navegación a vela,zeilen
boat,el barco,boot
gym,el gimnasio,sportschool
character,el personaje,personage
to paint,pintar,schilderen
zoo,el zoo,dierentuin
jogging,el jogging,joggen
running,el pedestrismo,rennen
World Cup,la Copa Mundial,Wereldbeker
swimming,la natación,zwemmen
program,el programa,programma
reading,la lectura,lezen
outdoors,al aire libre,buiten
horoscope,el horóscopo,horoscoop
cinema,el cinema,bioscoop
television,la televisión,televisie
baseball,el béisbol,honkbal
culture,la cultura,cultuur
notebook,el cuaderno,notitieboek
free time,el tiempo libre,vrije tijd
story,el cuento,verhaal
exercise,el ejercicio,oefening
garden,el jardín,tuin
football,el fútbol,voetbal
to color,colorear,kleuren
routine,la rutina,routine
basketball,el baloncesto,basketbal
dance,el baile,dans
bass,el bajo,bas
to read,leer,lezen
movie,la película,film
party,la fiesta,feest
games,los juegos,spelletjes
book,el libro,boek
art,el arte,kunst
tourism,el turismo,toerisme
to travel,viajar,reizen
soccer,el fútbol,voetbal
conversation,la conversación,gesprek
cooking,la cocina,koken
shopping,las compras,winkelen
activity,la actividad,activiteit
chores,las tareas domésticas,klusjes
vacation,la vacación,vakantie
holidays,la vacación,vakantie
music,la música,muziek
hobby,el hobby,hobby
sports,los deportes,sport
